nama_hotel,kelurahan,kecamatan,bintang,jumlah_kamar,jumlah_tempat_tidur,tahun,bulan,wisman,wisnus,kmr,pax,rm_ava,okupansi
ZURICH HOTEL,Damai,Balikpapan Kota,Bintang 3,166,166,2021,01,0,0,"0,000","0,00","5,146","0,00"
MAX ONE,Damai,Balikpapan Selatan,Bintang 3,30,43,2021,01,3,"4,883","3,009","4,89",930,"323,55"
HORISON SAGITA,Klandasan Ilir,Balikpapan Kota,Bintang 3,79,79,2021,01,13,"2,095","1,971","2,11","2,449","80,48"
MEGA LESTARI HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 3,155,237,2021,01,0,"1,161","719,000","1,16","4,805","14,96"
BEST INN,Gn. Bahagia,Balikpapan Selatan,Bintang 3,53,72,2021,01,0,0,"0,000","0,00","1,643","0,00"
THE STAR HILL,Damai Bahagia,Balikpapan Selatan,Bintang 3,133,197,2021,01,0,226,"113,000","226,00","4,123","2,74"
ROYAL SUITE HOTEL,Sepinggan,Balikpapan Selatan,Bintang 3,26,26,2021,01,0,342,"283,000","342,00",806,"35,11"
ADHIKA BAHTERA HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 3,155,205,2021,01,0,0,"0,000","0,00","4,805","0,00"
MIRAMA HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 3,108,173,2021,01,0,"1,024","572,000","1,02","3,348","17,08"
HER HOTEL & TRADE CENTER,Gn. Samarinda,Balikpapan Utara,Bintang 3,154,200,2021,01,0,0,"0,000","0,00","4,774","0,00"
FAVE HOTEL,Damai,Balikpapan Selatan,Bintang 3,112,158,2021,01,0,0,"0,000","0,00","3,472","0,00"
D'PRIMA RUKO BANDAR,Klandasan Ulu,Balikpapan Kota,Bintang 3,81,81,2021,01,0,0,"0,000","0,00","2,511","0,00"
THE POINT HOTEL,Damai,Balikpapan Selatan,Bintang 2,33,33,2021,01,0,0,"0,000","0,00","1,023","0,00"
MIDTOWN XPRESS,Damai,Balikpapan Kota,Bintang 2,115,174,2021,01,15,"1,277","1,292","1,29","3,565","36,24"
SEVENSIX HOTEL,Gn. Bahagia,Balikpapan Selatan,Bintang 2,35,42,2021,01,0,"2,45","1,225","2,45","1,085","112,90"
BUANA LESTARI HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 2,50,58,2021,01,0,670,"434,000","670,00","1,55","28,00"
SEPINGGAN HOTEL,Sepinggan Raya,Balikpapan Selatan,Bintang 2,101,119,2021,01,0,259,"104,000","259,00","3,131","3,32"
HAAI HOTEL,Gn. Bahagia,Balikpapan Selatan,Bintang 2,112,158,2021,01,31,115,"146,000","146,00","3,472","4,21"
CITY HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 2,57,76,2021,01,0,0,"0,000","0,00","1,767","0,00"
MUTIARA INDAH HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 2,38,40,2021,01,0,"1,716","858,000","1,72","1,178","72,84"
D'PRIMA MT HARYONO,Damai,Balikpapan Kota,Bintang 2,112,112,2021,01,0,0,"0,000","0,00","3,472","0,00"
AIQO,Klandasan Ilir,Balikpapan Kota,Bintang 2,51,57,2021,01,0,78,"53,000","78,00","1,581","3,35"
BINTANG HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 1,68,68,2021,01,0,0,"0,000","0,00","2,108","0,00"
BANDARA CITA AMADANA HOTEL,Sepinggan,Balikpapan Selatan,Bintang 1,41,54,2021,01,0,0,"0,000","0,00","1,271","0,00"
